comentario,tokens_limpios,features
"Mi hermano solía tener barritos por usar bloqueador grasosos y pegajosos, lleva usando este bloqueador desde enero y le va súper bien no es pegajoso ni grasoso como otros bloqueadores del mercado","['hermano', 'solía', 'tener', 'barritos', 'usar', 'bloqueador', 'grasosos', 'pegajosos', 'lleva', 'usando', 'bloqueador', 'enero', 'va', 'súper', 'bien', 'pegajoso', 'grasoso', 'bloqueadores', 'mercado']",[0. 0. 0. ... 0. 0. 0.]
"Lo mejor que he probado en bloqueadores. Además al tener ácido hialurónico ayuda a atenuar las manchas, yo tuve una cortada en el ceño y después de cicatrizar comencé a aplicar en la herida y al día de hoy no tengo rastros de cicatriz en mi frente. Al ser de textura fluida y no grasosa, con solo unas pocas gotas es más que suficiente permitiendo, en mi caso, que me duré hasta 6 meses. Lo recomiendo 100%","['mejor', 'probado', 'bloqueadores', 'además', 'tener', 'ácido', 'hialurónico', 'ayuda', 'atenuar', 'manchas', 'cortada', 'ceño', 'después', 'cicatrizar', 'comencé', 'aplicar', 'herida', 'día', 'hoy', 'rastros', 'cicatriz', 'frente', 'ser', 'textura', 'fluida', 'grasosa', 'solo', 'unas', 'pocas', 'gotas', 'suficiente', 'permitiendo', 'caso', 'duré', 'meses', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
El producto me llegó tal cual la imagen y es muy bueno no grasoso y fácil de aplicar,"['producto', 'llegó', 'tal', 'imagen', 'bueno', 'grasoso', 'fácil', 'aplicar']",[0. 0. 0. ... 0. 0. 0.]
Es suave! creo cumple lo requerido.,"['suave', 'creo', 'cumple', 'requerido']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño corresponde y es igual al de la foto. La expectativa respecto al producto se cumplió mas o menos, no le doy 5 estrellas porque aún estoy probando el producto, aunque es poco grasoso y eso me gusta.","['tamaño', 'corresponde', 'igual', 'foto', 'expectativa', 'respecto', 'producto', 'cumplió', 'mas', 'menos', 'doy', 'estrellas', 'aún', 'probando', 'producto', 'aunque', 'grasoso', 'gusta']",[0. 0. 0. ... 0. 0. 0.]
"Es muy líquido y me gusta el efecto tipo glow que deja. Perfecto para piel sensible, lo unico malo es que arde si te cae en el ojo.","['líquido', 'gusta', 'efecto', 'tipo', 'glow', 'deja', 'perfecto', 'piel', 'sensible', 'unico', 'malo', 'arde', 'si', 'cae', 'ojo']",[0. 0. 0. ... 0. 0. 0.]
para piel seca tiende a secar un poco más... de fácil aplicación no irrita los ojos,"['piel', 'seca', 'tiende', 'secar', 'fácil', 'aplicación', 'irrita', 'ojos']",[0. 0. 0. ... 0. 0. 0.]
"No me gustó, deja la cara blanca y si intentas esparcirlo más se hace como bolitas. Busque si existen las tonos en este pero no encontré. Sin embargo, hace tiempo probé otro de sifón con color y también era pésimo porque dejaba manchones. No lo recomiendo.","['gustó', 'deja', 'cara', 'blanca', 'si', 'intentas', 'esparcirlo', 'hace', 'bolitas', 'busque', 'si', 'existen', 'tonos', 'encontré', 'embargo', 'hace', 'tiempo', 'probé', 'sifón', 'color', 'pésimo', 'dejaba', 'manchones', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
Es igual a la foto. Es de buena calidad. El tamaño corresponde al de la foto. Se absorve rapido por lo cual no deja un efecto grasoso en la piel.,"['igual', 'foto', 'buena', 'calidad', 'tamaño', 'corresponde', 'foto', 'absorve', 'rapido', 'deja', 'efecto', 'grasoso', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño es pequeño, pero bueno. Es igual a la foto, aunque me lo esperaba un poco más grande. Es buena calidad.","['tamaño', 'pequeño', 'bueno', 'igual', 'foto', 'aunque', 'esperaba', 'grande', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"Mi producto llegó en excelentes condiciones, el empaque es muy bueno.","['producto', 'llegó', 'excelentes', 'condiciones', 'empaque', 'bueno']",[0. 0. 0. ... 0. 0. 0.]
Me recomendó mi Dermatologo por que la Roche Posay foto protector me protege al 100% por mi edad estoy satisfecha con el producto y el precio muy accesible gracias,"['recomendó', 'dermatologo', 'roche', 'posay', 'foto', 'protector', 'protege', 'edad', 'satisfecha', 'producto', 'precio', 'accesible', 'gracias']",[0. 0. 0. ... 0. 0. 0.]
Proteguey controla el aceite de la piel.,"['proteguey', 'controla', 'aceite', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Es igual a la descripción, realmente es maravilloso para piel sensible y realmente es efectivo su textura es ligera y se absorbe muy rápido.","['igual', 'descripción', 'realmente', 'maravilloso', 'piel', 'sensible', 'realmente', 'efectivo', 'textura', 'ligera', 'absorbe', 'rápido']",[0. 0. 0. ... 0. 0. 0.]
Es un producto de buena calidad y muy bueno el proctector,"['producto', 'buena', 'calidad', 'bueno', 'proctector']",[0. 0. 0. ... 0. 0. 0.]
Me gusta la textura porque es ligero,"['gusta', 'textura', 'ligero']",[0. 0. 0. ... 0. 0. 0.]
A pesar de ser de consistencia líquida es un buen protector no es pegajoso y no deja brillo al secarse. Lo recomiendo 100%,"['pesar', 'ser', 'consistencia', 'líquida', 'buen', 'protector', 'pegajoso', 'deja', 'brillo', 'secarse', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
"Me encantó, tiene fórmula algo líquida, lo que hace que sea fácil de aplicar","['encantó', 'fórmula', 'líquida', 'hace', 'fácil', 'aplicar']",[0. 0. 0. ... 0. 0. 0.]
"Es líquido por lo que con poco alcanza para el rostro, deja hidratada la cara, pero no grasa.","['líquido', 'alcanza', 'rostro', 'deja', 'hidratada', 'cara', 'grasa']",[0. 0. 0. ... 0. 0. 0.]
Es tal como lo publicitan,"['tal', 'publicitan']",[0. 0. 0. ... 0. 0. 0.]
Único bloqueador que no me hace lagrimear los ojos,"['único', 'bloqueador', 'hace', 'lagrimear', 'ojos']",[0.         0.         0.         ... 0.         0.42560876 0.        ]
"Exquisita textura, no irrita los ojos. 100% recomendado!","['exquisita', 'textura', 'irrita', 'ojos', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"La experiencia muy buena, el bloqueador también y si tamaño es apenas","['experiencia', 'buena', 'bloqueador', 'si', 'tamaño', 'apenas']",[0. 0. 0. ... 0. 0. 0.]
"El mejor protector solar , el flitro mexoril 400 patentado por la Roche protege de los rayos UVA , su textura fluida te permite tener una buena cobertura con poca cantidad","['mejor', 'protector', 'solar', 'flitro', 'mexoril', 'patentado', 'roche', 'protege', 'rayos', 'uva', 'textura', 'fluida', 'permite', 'tener', 'buena', 'cobertura', 'poca', 'cantidad']",[0. 0. 0. ... 0. 0. 0.]
Es idéntico....original y lo mejor a un buen precio en comparación de otros puntos de ventas,"['idénticooriginal', 'mejor', 'buen', 'precio', 'comparación', 'puntos', 'ventas']",[0. 0. 0. ... 0. 0. 0.]
"Es igual a la foto, excelente calidad","['igual', 'foto', 'excelente', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
Buena presentación práctica,"['buena', 'presentación', 'práctica']",[0. 0. 0. ... 0. 0. 0.]
"El bloqueador es excelente, no deja la piel oleosa durante el día 10 de 10","['bloqueador', 'excelente', 'deja', 'piel', 'oleosa', 'día']",[0. 0. 0. ... 0. 0. 0.]
Tal cual como lo muestra su imagen,"['tal', 'muestra', 'imagen']",[0. 0. 0. ... 0. 0. 0.]
El tamaño es adecuado para el uso diario,"['tamaño', 'adecuado', 'uso', 'diario']",[0. 0. 0. ... 0. 0. 0.]
"Lo estoy utilizando y cumple mis expectativas, fácil de usar, no es muy graso y te cuida la piel","['utilizando', 'cumple', 'expectativas', 'fácil', 'usar', 'graso', 'cuida', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Yo soy usuaria de la marca y me gusta mucho la calidad,me deja la piel humectada y protegida sobretodo","['usuaria', 'marca', 'gusta', 'calidadme', 'deja', 'piel', 'humectada', 'protegida', 'sobretodo']",[0. 0. 0. ... 0. 0. 0.]
Me encanta este producto lo uso por años y en Falabella lo encontré con un buen descuento,"['encanta', 'producto', 'uso', 'años', 'falabella', 'encontré', 'buen', 'descuento']",[0. 0. 0. ... 0. 0. 0.]
"Coincide con la foto y descripción, es un buen producto, funciona bien, buena calidad/precio, lo recomiendo.","['coincide', 'foto', 'descripción', 'buen', 'producto', 'funciona', 'bien', 'buena', 'calidadprecio', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
Producto como el de la foto. Envio rápido. Lo llevo usando hace varios años y espero siempre el cyber para comprarlo.,"['producto', 'foto', 'envio', 'rápido', 'llevo', 'usando', 'hace', 'varios', 'años', 'espero', 'siempre', 'cyber', 'comprarlo']",[0. 0. 0. ... 0. 0. 0.]
"Este bloqueador es excelente, no deja la puel grasa y no genera problemas de piel","['bloqueador', 'excelente', 'deja', 'puel', 'grasa', 'genera', 'problemas', 'piel']",[0. 0. 0. ... 0. 0. 0.]
Relación calidad-precio,"['relación', 'calidadprecio']",[0. 0. 0. ... 0. 0. 0.]
Protege muy bien mi piel,"['protege', 'bien', 'piel']",[0. 0. 0. ... 0. 0. 0.]
La calidad es excelente,"['calidad', 'excelente']",[0. 0. 0. ... 0. 0. 0.]
"Es súper ligero y se absorbe rápido, me encanta","['súper', 'ligero', 'absorbe', 'rápido', 'encanta']",[0. 0. 0. ... 0. 0. 0.]
"Es de buena calidad , el bloqueador es excelente para piel grasa/mixta.","['buena', 'calidad', 'bloqueador', 'excelente', 'piel', 'grasamixta']",[0. 0. 0. ... 0. 0. 0.]
"Genial, deja la piel muy bonita, es de textura ligera y absorbe super rapido","['genial', 'deja', 'piel', 'bonita', 'textura', 'ligera', 'absorbe', 'super', 'rapido']",[0. 0. 0. ... 0. 0. 0.]
"Buena calidad, efecto mate, fácil aplicación","['buena', 'calidad', 'efecto', 'mate', 'fácil', 'aplicación']",[0. 0. 0. ... 0. 0. 0.]
"Es de buena calidad, cumple con lo que dice. Aunque es un poco pequeño","['buena', 'calidad', 'cumple', 'dice', 'aunque', 'pequeño']",[0. 0. 0. ... 0. 0. 0.]
"Excelente, no es pegajoso y protege bien","['excelente', 'pegajoso', 'protege', 'bien']",[0. 0. 0. ... 0. 0. 0.]
He sido muy fan de la marca por mucho tiempo y no me defraudó este protector muy bueno me encanta como deja mi cara y además la protejo de los rayos V,"['sido', 'fan', 'marca', 'tiempo', 'defraudó', 'protector', 'bueno', 'encanta', 'deja', 'cara', 'además', 'protejo', 'rayos', 'v']",[0. 0. 0. ... 0. 0. 0.]
"Es el mejor protector solar, ideal para llevarlo donde quieras, fácil de transportar. Lo uso a diario, se absorbe muy muy rápido, lo recomiendo al 100%.","['mejor', 'protector', 'solar', 'ideal', 'llevarlo', 'quieras', 'fácil', 'transportar', 'uso', 'diario', 'absorbe', 'rápido', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
"Tamaño ideal para llevarlo a todas partes, de fácil absorción y muy ligero al aplicarlo","['tamaño', 'ideal', 'llevarlo', 'todas', 'partes', 'fácil', 'absorción', 'ligero', 'aplicarlo']",[0. 0. 0. ... 0. 0. 0.]
"Deja la cara nada aceitosa y no deja blanca después de aplicar, además que es muy fácil de aplicar","['deja', 'cara', 'aceitosa', 'deja', 'blanca', 'después', 'aplicar', 'además', 'fácil', 'aplicar']",[0. 0. 0. ... 0. 0. 0.]
Me encanta!! Muy ligera y nada pegote,"['encanta', 'ligera', 'pegote']",[0. 0. 0. ... 0. 0. 0.]
"No cambio este bloqueador por nada, el precio no es el más económico pero vale 100% la pena, no le confío mi cara a ningún otro producto","['cambio', 'bloqueador', 'precio', 'económico', 'vale', 'pena', 'confío', 'cara', 'ningún', 'producto']",[0. 0. 0. ... 0. 0. 0.]
"Me pareció un increíble bloqueador. No se corre con la sudoración ni con la exposición al agua por lo tanto estuve full protegido en todo momento, recomendable!!","['pareció', 'increíble', 'bloqueador', 'corre', 'sudoración', 'exposición', 'agua', 'full', 'protegido', 'momento', 'recomendable']",[0. 0. 0. ... 0. 0. 0.]
Es muy fluido y no queda para nada pegajoso.,"['fluido', 'queda', 'pegajoso']",[0. 0. 0. ... 0. 0. 0.]
"Es súper buen protector demasiado suave, fluido, rico aroma y me encanta para hacer deporte. Lo uso todos los días antes de salir","['súper', 'buen', 'protector', 'demasiado', 'suave', 'fluido', 'rico', 'aroma', 'encanta', 'hacer', 'deporte', 'uso', 'días', 'salir']",[0. 0. 0. ... 0. 0. 0.]
"Muy bueno, tiene una textura muy fluida y ligera. Perfecto para re aplicar durante el día incluso sobre el maquillaje. A prueba de agua, sirve para nadar y para hacer deportes al aire libre cómodamente ya que no se derrite.","['bueno', 'textura', 'fluida', 'ligera', 'perfecto', 're', 'aplicar', 'día', 'incluso', 'maquillaje', 'prueba', 'agua', 'sirve', 'nadar', 'hacer', 'deportes', 'aire', 'libre', 'cómodamente', 'derrite']",[0. 0. 0. ... 0. 0. 0.]
"Excelente producto, súper fácil de aplicar, no queda la cara grasosa y se mantiene hidratada la piel. Bo puedo estar más feliz con mi protector. Lo recomiendo 100%","['excelente', 'producto', 'súper', 'fácil', 'aplicar', 'queda', 'cara', 'grasosa', 'mantiene', 'hidratada', 'piel', 'bo', 'puedo', 'feliz', 'protector', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
"Increíble bloqueador sobre todo para el verano y el lago! Perfecto para ocuparlo antes, durante y después de meterse al agua. Además, tiene una muy buena textura y se aplica muy fácil sobre la piel","['increíble', 'bloqueador', 'verano', 'lago', 'perfecto', 'ocuparlo', 'después', 'meterse', 'agua', 'además', 'buena', 'textura', 'aplica', 'fácil', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Tengo la piel mixta y sensible, y me ha pasado de usar ciertos bloqueadores que hacen con que me salgan grano o me irriten la piel, pero en este caso, llevo 1 mes usando este bloqueador y no ha pasado, ha sido muy bueno de usarlo, lo recomiendo mucho!","['piel', 'mixta', 'sensible', 'pasado', 'usar', 'ciertos', 'bloqueadores', 'hacen', 'salgan', 'grano', 'irriten', 'piel', 'caso', 'llevo', 'mes', 'usando', 'bloqueador', 'pasado', 'sido', 'bueno', 'usarlo', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
"Estuve utilizando este producto mas o menos un mes y la verdad es que me pareció súper bueno, me encantó como es su textura y cómo queda en mi piel, ligero y no pegajoso, lo recomiendo totalmente a mis conocidos.","['utilizando', 'producto', 'mas', 'menos', 'mes', 'verdad', 'pareció', 'súper', 'bueno', 'encantó', 'textura', 'cómo', 'queda', 'piel', 'ligero', 'pegajoso', 'recomiendo', 'totalmente', 'conocidos']",[0. 0. 0. ... 0. 0. 0.]
"Muy buena textura ligera, no es graso te mantiene la piel hidratada y su textura ultra fluida n y además es resistente al agua, sudor y arena práctico para llevar 100% recomendable.","['buena', 'textura', 'ligera', 'graso', 'mantiene', 'piel', 'hidratada', 'textura', 'ultra', 'fluida', 'n', 'además', 'resistente', 'agua', 'sudor', 'arena', 'práctico', 'llevar', 'recomendable']",[0. 0. 0. ... 0. 0. 0.]
"Es tal cual lo describen, fui a la playa con el y resistió el agua, fui al cerro y es resistente al sudor esta precisó para actualizar aire libre fácil de usar y de aplicar además un tamaño que lo puedes llevar a todas partes.","['tal', 'describen', 'playa', 'resistió', 'agua', 'cerro', 'resistente', 'sudor', 'precisó', 'actualizar', 'aire', 'libre', 'fácil', 'usar', 'aplicar', 'además', 'tamaño', 'puedes', 'llevar', 'todas', 'partes']",[0. 0. 0. ... 0. 0. 0.]
"excelente producto uy recomendable para deportes que conlleven una larga exposición al sol como montañismo, mountainbike, bmx, snowboard etc","['excelente', 'producto', 'uy', 'recomendable', 'deportes', 'conlleven', 'larga', 'exposición', 'sol', 'montañismo', 'mountainbike', 'bmx', 'snowboard', 'etc']",[0. 0. 0. ... 0. 0. 0.]
"Ideal para los que practicamos deporte al aire libre, no es grasoso, se absorbe bien, no produce ningún tipo de alergia, se mantiene con el agua. Un bloqueador solar 100% recomendado. Gracias La Roche-Posay.","['ideal', 'practicamos', 'deporte', 'aire', 'libre', 'grasoso', 'absorbe', 'bien', 'produce', 'ningún', 'tipo', 'alergia', 'mantiene', 'agua', 'bloqueador', 'solar', 'recomendado', 'gracias', 'rocheposay']",[0. 0. 0. ... 0. 0. 0.]
Uso el protector solar facial sin aroma y color y me ha parecido fabuloso. Perfecto para usar durante todo el año.,"['uso', 'protector', 'solar', 'facial', 'aroma', 'color', 'parecido', 'fabuloso', 'perfecto', 'usar', 'año']",[0. 0. 0. ... 0. 0. 0.]
"Me encantó, llevo 2 semanas usandolo y me ha mejorado mucho la cara! recomendadisimo!!","['encantó', 'llevo', 'semanas', 'usandolo', 'mejorado', 'cara', 'recomendadisimo']",[0. 0. 0. ... 0. 0. 0.]
"El mejor bloqueador que he usado para deportes, la textura ayuda a una rapida absorción permitiendo la fijación y que no se corra por la sudoración. Además muy amigable con los ojos cero irritación. 100% recomendado.","['mejor', 'bloqueador', 'usado', 'deportes', 'textura', 'ayuda', 'rapida', 'absorción', 'permitiendo', 'fijación', 'corra', 'sudoración', 'además', 'amigable', 'ojos', 'cero', 'irritación', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
"Me encanto este bloqueador fácil, es de muy buena calidad, no quedas con la cara brillante, no quedas con la cara blanca es exquisito 10/10","['encanto', 'bloqueador', 'fácil', 'buena', 'calidad', 'quedas', 'cara', 'brillante', 'quedas', 'cara', 'blanca', 'exquisito']",[0. 0. 0. ... 0. 0. 0.]
Me encanta su textura ultra fluida y su Acabado no graso e invisible,"['encanta', 'textura', 'ultra', 'fluida', 'acabado', 'graso', 'invisible']",[0. 0. 0. ... 0. 0. 0.]
"Personalmente considero que el protector facial Anthelios UVMune es súper completo y de fiar, tuve un bronceado perfecto y con una protección inigualable. Cabe destacar, que cuando mis amigas me preguntan por mi bronceado menciono al infaltable bloqueador de la roche posay y les cuento sus beneficios.","['personalmente', 'considero', 'protector', 'facial', 'anthelios', 'uvmune', 'súper', 'completo', 'fiar', 'bronceado', 'perfecto', 'protección', 'inigualable', 'cabe', 'destacar', 'amigas', 'preguntan', 'bronceado', 'menciono', 'infaltable', 'bloqueador', 'roche', 'posay', 'cuento', 'beneficios']",[0. 0. 0. ... 0. 0. 0.]
"Lo que más me encantó del protector solar es tu textura fluida lo cual hace que sea muy fácil de aplicar en toda la cara. Además, es resistente al agua!! Esto ayuda mucho para los que nadamos bajo el agua, ya que no irritan los ojos. Asimismo, tu tamaño es perfecto para llevarlo a todas partes😍.","['encantó', 'protector', 'solar', 'textura', 'fluida', 'hace', 'fácil', 'aplicar', 'toda', 'cara', 'además', 'resistente', 'agua', 'ayuda', 'nadamos', 'bajo', 'agua', 'irritan', 'ojos', 'asimismo', 'tamaño', 'perfecto', 'llevarlo', 'todas', 'partes']",[0. 0. 0. ... 0. 0. 0.]
Es muy ligero y no deja la piel pesada! Me encanto el formato y lo mejor es que no resecaba mi piel!,"['ligero', 'deja', 'piel', 'pesada', 'encanto', 'formato', 'mejor', 'resecaba', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"Es un producto excelente, gran protección contra rayos UV, sin aroma y de buena textura. La utilizo antes de realizar actividades al aire libre (senderismo, natación en aguas abiertas) y los resultados son muy satisfactorios.","['producto', 'excelente', 'gran', 'protección', 'rayos', 'uv', 'aroma', 'buena', 'textura', 'utilizo', 'realizar', 'actividades', 'aire', 'libre', 'senderismo', 'natación', 'aguas', 'abiertas', 'resultados', 'satisfactorios']",[0. 0. 0. ... 0. 0. 0.]
Nataly Andrea Díaz Olmos,"['nataly', 'andrea', 'díaz', 'olmos']",[0. 0. 0. ... 0. 0. 0.]
Cumple al 100% con las expectativas. Es un bloqueador Perfecto para hacer deporte ya que no es pegote como otros! Feliz con mi compra 👍,"['cumple', 'expectativas', 'bloqueador', 'perfecto', 'hacer', 'deporte', 'pegote', 'feliz', 'compra']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño perfecto para llevar siempre conmigo, para nada grasoso me ha ayudado con las manchitas de la cara por mi embarazo, lo recomiendo mucho. A mi me encanto","['tamaño', 'perfecto', 'llevar', 'siempre', 'conmigo', 'grasoso', 'ayudado', 'manchitas', 'cara', 'embarazo', 'recomiendo', 'encanto']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño es ideal para llevarlo a todos lados, muy buena textura y absorción, me gusto mucho el formato","['tamaño', 'ideal', 'llevarlo', 'lados', 'buena', 'textura', 'absorción', 'gusto', 'formato']",[0. 0. 0. ... 0. 0. 0.]
"Muy buen producto, cumple con las expectativas.","['buen', 'producto', 'cumple', 'expectativas']",[0. 0. 0. ... 0. 0. 0.]
La verdad para el verano es súper importante la protección de mi rostro para no crear manchas y este producto nunca me falla ✨😍😍,"['verdad', 'verano', 'súper', 'importante', 'protección', 'rostro', 'crear', 'manchas', 'producto', 'nunca', 'falla']",[0. 0. 0. ... 0. 0. 0.]
"Es muy rico este bloqueador, deja la cara hidratada, no es pegasoso y protege muy bien de el sol. Tiene textura muy liquida asique es muy facil aplicarlo sin quedar manchada, tambien tiene rico olor. Tamaño y ideal para llevarlo en la cartera y a todos lados.","['rico', 'bloqueador', 'deja', 'cara', 'hidratada', 'pegasoso', 'protege', 'bien', 'sol', 'textura', 'liquida', 'asique', 'facil', 'aplicarlo', 'quedar', 'manchada', 'tambien', 'rico', 'olor', 'tamaño', 'ideal', 'llevarlo', 'cartera', 'lados']",[0. 0. 0. ... 0. 0. 0.]
"Textura ligera e invisible, primer bloqueador que se adapto tan bien a mi piel y rutina, de hecho lo he usado todos los días! No me dejó la piel pesada ni con sensación grasa. Definitivamente muy bueno y lo seguiré ocupando día a día.","['textura', 'ligera', 'invisible', 'primer', 'bloqueador', 'adapto', 'tan', 'bien', 'piel', 'rutina', 'hecho', 'usado', 'días', 'dejó', 'piel', 'pesada', 'sensación', 'grasa', 'definitivamente', 'bueno', 'seguiré', 'ocupando', 'día', 'día']",[0. 0. 0. ... 0. 0. 0.]
"Es igual a lo que promete. Textura súper ligera y fluida, súper compatible con el maquillaje, cero graso.","['igual', 'promete', 'textura', 'súper', 'ligera', 'fluida', 'súper', 'compatible', 'maquillaje', 'cero', 'graso']",[0. 0. 0. ... 0. 0. 0.]
"Me encanta este bloqueador, en su formato con o sin color, es mi top 1 en la lista de bloqueadores que me gustan. No deja la cara grasosa, no duelen los ojos al sudar o con el agua y deja la piel radiante. Trae bastante producto y como es líquido, dura muchísimo. Lo recomiendo 100% para quienes estén iniciándose en el mundo del skincare.","['encanta', 'bloqueador', 'formato', 'color', 'top', 'lista', 'bloqueadores', 'gustan', 'deja', 'cara', 'grasosa', 'duelen', 'ojos', 'sudar', 'agua', 'deja', 'piel', 'radiante', 'trae', 'bastante', 'producto', 'líquido', 'dura', 'muchísimo', 'recomiendo', 'iniciándose', 'mundo', 'skincare']",[0. 0. 0. ... 0. 0. 0.]
"Este fotoprotector me encantó, su textura ultra ligera y no grasa hace que mi piel se vea muy linda y es perfecta para el día a día. Sin duda es mi complemento perfecto para este verano porque me protege hasta de los rayos más insidiosos. A todas con mi Anthelios UVMUNE","['fotoprotector', 'encantó', 'textura', 'ultra', 'ligera', 'grasa', 'hace', 'piel', 'vea', 'linda', 'perfecta', 'día', 'día', 'duda', 'complemento', 'perfecto', 'verano', 'protege', 'rayos', 'insidiosos', 'todas', 'anthelios', 'uvmune']",[0. 0. 0. ... 0. 0. 0.]
"Tamaño perfecto, me encantó tanto el de rostro que también probé el de la línea corporal! Los apliqué antes de mi aceite bronceador y ningún problema.","['tamaño', 'perfecto', 'encantó', 'rostro', 'probé', 'línea', 'corporal', 'apliqué', 'aceite', 'bronceador', 'ningún', 'problema']",[0. 0. 0. ... 0. 0. 0.]
"Consistencia: si es como dicen, no deja grasoso, ni blanco y es súper resistente Calidad: realmente protege y cumple con lo que venden, no me queme ninguno de los días que utilice el protector Si sirve para todo tipo de piel, soy súper sensible y nunca me produjo alergias o irritación","['consistencia', 'si', 'dicen', 'deja', 'grasoso', 'blanco', 'súper', 'resistente', 'calidad', 'realmente', 'protege', 'cumple', 'venden', 'queme', 'ninguno', 'días', 'utilice', 'protector', 'si', 'sirve', 'tipo', 'piel', 'súper', 'sensible', 'nunca', 'produjo', 'alergias', 'irritación']",[0. 0. 0. ... 0. 0. 0.]
El producto es muy compacto y de muy buena calidad para esta temporada de verano,"['producto', 'compacto', 'buena', 'calidad', 'temporada', 'verano']",[0. 0. 0. ... 0. 0. 0.]
"Producto igual a la foto, de buena calidad cumple lo indicado, el precio vale lo eterno que es lo l bloqueador","['producto', 'igual', 'foto', 'buena', 'calidad', 'cumple', 'indicado', 'precio', 'vale', 'eterno', 'l', 'bloqueador']",[0. 0. 0. ... 0. 0. 0.]
La textura que deja es súper suave pero igual deja un poco brillosa la cara para mí gusto,"['textura', 'deja', 'súper', 'suave', 'igual', 'deja', 'brillosa', 'cara', 'gusto']",[0. 0. 0. ... 0. 0. 0.]
Cumple su función y es ligero no graso.,"['cumple', 'función', 'ligero', 'graso']",[0. 0. 0. ... 0. 0. 0.]
"Es la tercera vez que lo compro y me encanta, es muy ligero de aplicar.","['tercera', 'vez', 'compro', 'encanta', 'ligero', 'aplicar']",[0. 0. 0. ... 0. 0. 0.]
"Muy buena calidad, el tamaño es exacto al que aparece en la foto","['buena', 'calidad', 'tamaño', 'exacto', 'aparece', 'foto']",[0. 0. 0. ... 0. 0. 0.]
"Igual a la foto, buena calidad","['igual', 'foto', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
Tamaño corresponde igual a la foto,"['tamaño', 'corresponde', 'igual', 'foto']",[0. 0. 0. ... 0. 0. 0.]
Es muy bueno y Cosmetologicamente de excelente calidad,"['bueno', 'cosmetologicamente', 'excelente', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
"Envío rápido. Excelente protector solar, no deja la piel grasa, resistente a la tierra y arena.","['envío', 'rápido', 'excelente', 'protector', 'solar', 'deja', 'piel', 'grasa', 'resistente', 'tierra', 'arena']",[0. 0. 0. ... 0. 0. 0.]
Me gusto es muy bueno,"['gusto', 'bueno']",[0. 0. 0. ... 0. 0. 0.]
No es grasoso comprobado su eficacia frente al sol,"['grasoso', 'comprobado', 'eficacia', 'frente', 'sol']",[0. 0. 0. ... 0. 0. 0.]
"Producto de calidad, deja la piel muy suave, no irrita los ojos","['producto', 'calidad', 'deja', 'piel', 'suave', 'irrita', 'ojos']",[0. 0. 0. ... 0. 0. 0.]
Lo amo deja la piel super linda y no es grasoso. Feliz y satisfecha,"['amo', 'deja', 'piel', 'super', 'linda', 'grasoso', 'feliz', 'satisfecha']",[0. 0. 0. ... 0. 0. 0.]
"excelente producto, siempre lo compro","['excelente', 'producto', 'siempre', 'compro']",[0. 0. 0. ... 0. 0. 0.]
Excelente producto ligero y se absorbe rápido es perfecto para una piel mixta a grasa.,"['excelente', 'producto', 'ligero', 'absorbe', 'rápido', 'perfecto', 'piel', 'mixta', 'grasa']",[0. 0. 0. ... 0. 0. 0.]
Deja la piel suave es muy líquido pero humecta y protege la piel. Es lo mejor!!,"['deja', 'piel', 'suave', 'líquido', 'humecta', 'protege', 'piel', 'mejor']",[0. 0. 0. ... 0. 0. 0.]
"Es un bloqueador fluido, se seca rápido en la piel, siempre lo compro ya que para mi es un imprescindible, buena calidad","['bloqueador', 'fluido', 'seca', 'rápido', 'piel', 'siempre', 'compro', 'imprescindible', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
buena calidad y textura agradable,"['buena', 'calidad', 'textura', 'agradable']",[0. 0. 0. ... 0. 0. 0.]
"el tamaño corresponde, es de rápida absorción y de textura fluida","['tamaño', 'corresponde', 'rápida', 'absorción', 'textura', 'fluida']",[0. 0. 0. ... 0. 0. 0.]
Es.perfecto para pieles grasas Totalmente recomendado,"['esperfecto', 'pieles', 'grasas', 'totalmente', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
